Node,Old Wallet,Random number,Transaction 13,Transaction 14,Transaction 15,Payment,Wallet,Fidelity node 0,Fidelity node 1,Fidelity node 2,Fidelity node 3,Fidelity node 4,Fidelity node 5
0,20.4,0100110100,0.0,0.0,0.0,0.6,21.0,0.0,0.4014691696970997,0.5359074566196796,0.4452744597591806,0.0775378335816046,0.8857851873995038
1,29.4,1101011000,0.0,0.0,0.0,0.2,29.6,0.4014691696970997,0.0,0.6363202003327404,0.4818820623221289,0.556591934922578,0.7192365908912326
2,13.4,1111100001,-1.0,0.0,0.0,0.2,12.6,0.5359074566196796,0.6363202003327404,0.0,0.0143667545058299,0.2080060959933757,0.518238190765949
3,21.6,1010101001,1.0,-3.0,3.0,0.2,22.8,0.4452744597591806,0.4818820623221289,0.0143667545058299,0.0,0.8118350747331532,0.5415432000179737
4,23.6,0100010001,0.0,3.0,0.0,0.2,26.8,0.0775378335816046,0.556591934922578,0.2080060959933757,0.8118350747331532,0.0,0.2121069933538118
5,17.6,1000110101,0.0,0.0,-3.0,0.6,15.2,0.8857851873995038,0.7192365908912326,0.518238190765949,0.5415432000179737,0.2121069933538118,0.0
