Node,Old Wallet,Random number,Transaction 10,Transaction 11,Transaction 12,Payment,Wallet,Fidelity node 0,Fidelity node 1,Fidelity node 2,Fidelity node 3,Fidelity node 4,Fidelity node 5
0,17.8,0011101110,0.0,2.0,0.0,0.6,20.4,0.0,0.440677820245074,0.969369667986656,0.795261325649798,0.6608939621767429,0.032019543660026
1,27.2,1100111001,1.0,-2.0,3.0,0.2,29.4,0.440677820245074,0.0,0.5180391515804247,0.0867173318647978,0.485560720309892,0.4703188538086955
2,16.8,0001001001,-1.0,0.0,-3.0,0.6,13.4,0.969369667986656,0.5180391515804247,0.0,0.6792232135705669,0.7989505525072652,0.0001386762650769
3,21.4,0001011111,0.0,0.0,0.0,0.2,21.6,0.795261325649798,0.0867173318647978,0.6792232135705669,0.0,0.4654713390305823,0.3299320668975567
4,23.4,0111011000,0.0,0.0,0.0,0.2,23.6,0.6608939621767429,0.485560720309892,0.7989505525072652,0.4654713390305823,0.0,0.2030659361626895
5,17.4,1000011001,0.0,0.0,0.0,0.2,17.6,0.032019543660026,0.4703188538086955,0.0001386762650769,0.3299320668975567,0.2030659361626895,0.0
